city,state,property_count,avg_revpar_growth_pre,avg_revpar_growth_post,median_revpar_growth_pre,median_revpar_growth_post,std_revpar_growth_pre,std_revpar_growth_post
"Dallas-Plano-Irving, TX",TX,1215,0.1899662308958263,-0.040558516453750415,0.169407232,-0.056953715,0.16824084682425652,0.12315360729611002
"Houston-The Woodlands-Sugar Land, TX",TX,1188,0.04585682297020098,0.005495026185570586,0.033907837,-0.009603071,0.17356027007646324,0.12944586411795322
"Atlanta-Sandy Springs-Roswell, GA",GA,1028,0.30475526026317873,-0.0814920668036712,0.28598851,-0.097771204,0.22669911609173218,0.1081434658198075
"Phoenix-Mesa-Scottsdale, AZ",AZ,746,0.4262678276726579,-0.1252932839718232,0.4113014025,-0.1277024215,0.17867873518917704,0.09812424880005997
"Fort Worth-Arlington, TX",TX,483,0.28022806596227995,-0.040588935292153586,0.249041629,-0.05592379,0.2770185798177059,0.129527223183892
"Austin-Round Rock, TX",TX,467,0.12170261890258621,-0.1740796507551903,0.117428731,-0.194217919,0.10272996756394435,0.1216058580520519
"San Antonio-New Braunfels, TX",TX,426,0.12348120495124283,-0.07984706030422264,0.110502703,-0.092855804,0.1140829087070205,0.1183882950110251
"Charlotte-Concord-Gastonia, NC-SC",NC,356,0.25094886542937855,-0.014183790249408981,0.242007519,-0.026069889,0.14218739829725002,0.1096005141620727
"Tampa-St. Petersburg-Clearwater, FL",FL,342,0.2626255935772834,-0.021141782381235156,0.241137681,-0.041352623,0.1698019181933705,0.11937443076114028
"Orlando-Kissimmee-Sanford, FL",FL,312,0.237368123564753,-0.04364824859947984,0.210972965,-0.060373548,0.13913864945470367,0.10553281905199528
"Raleigh/Durham, NC",NC,257,0.2069287873532258,-0.06279892327131782,0.206017543,-0.076034649,0.10373957291994146,0.11343445955230541
"Nashville-Davidson--Murfreesboro--Franklin, TN",TN,217,0.18867962819607842,-0.042304300951957294,0.17560912,-0.067078204,0.12868198066971376,0.12325692858357465
"Jacksonville, FL",FL,201,0.2647057540242915,-0.06307024761630219,0.24621466,-0.084871002,0.1732963939510465,0.1887282960322525
"Tucson, AZ",AZ,197,0.3709654991844864,-0.02942170080334728,0.348622988,-0.052435079,0.15845404610302977,0.14345892141885214
"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",FL,143,0.13689806478319783,0.00794455711797753,0.124322585,-0.008267952,0.08996571291618752,0.09866354231804562
"Memphis, TN-MS-AR",TN,140,0.22853126474925373,0.030223601557184746,0.216381507,0.013048948,0.17396893550439954,0.17735188033993196
"West Palm Beach-Boca Raton-Delray Beach, FL",FL,103,0.1645392947915058,-0.006909634765873014,0.146587149,-0.018770281,0.14859098951565586,0.09749340959610792
"Miami-Miami Beach-Kendall, FL",FL,85,0.14994083358095237,0.1040926798226601,0.12115146299999999,0.07499513,0.23767267652040844,0.14747774643233655
"Lakeland-Winter Haven, FL",FL,10,0.21443139329411764,-0.03586429611538462,0.170258575,-0.0604997005,0.13067084246369573,0.12473316485079067
"LaGrange, GA",GA,8,0.24297169370588237,0.07397689047368422,0.230111972,0.048715473,0.11072817108633691,0.15254513387096003
"Clarksville, TN-KY",TN,7,0.2536504397857143,-0.009741817571428573,0.2033732135,0.00738621,0.11089447697507623,0.07579396848601842
"Yuma, AZ",AZ,5,0.3570133891818182,0.003028393166666667,0.295555049,0.040445014,0.26549727351313834,0.10351041785831126
"Deltona-Daytona Beach-Ormond Beach, FL",FL,2,0.3547035608,0.016327314500000002,0.246414754,0.016327314500000002,0.14828055552419706,0.06440355982539077
"Prescott, AZ",AZ,2,0.37662336139999997,-0.0683654765,0.345803617,-0.0683654765,0.04220167306105879,0.08599759911723995
"Macon/Warner Robins, GA",GA,1,0.154262232,0.208593413,0.154262232,0.208593413,0.0,0.0
"Fredericksburg, TX",TX,1,0.199293647,0.089012719,0.199293647,0.089012719,0.0,0.0
"Brenham, TX",TX,1,0.08408239300000002,0.19941314900000004,0.084082393,0.199413149,1.6996749443881478e-17,3.3993498887762956e-17
"Greensboro/Winston-Salem, NC",NC,1,0.191835193,0.553402975,0.191835193,0.553402975,0.0,0.0
